Date,Price,Open,High,Low,Vol.,Change %
2018-08-09,"2,853.58","2,857.19","2,862.48","2,851.98",-,-0.0014
2018-08-08,"2,857.70","2,856.79","2,862.44","2,853.09",-,-0.0003
2018-08-07,"2,858.45","2,855.92","2,863.43","2,855.92",-,0.0028
2018-08-06,"2,850.40","2,840.29","2,853.29","2,835.98",-,0.0035
2018-08-03,"2,840.35","2,829.62","2,840.38","2,827.37",-,0.0046
2018-08-02,"2,827.22","2,800.48","2,829.91","2,796.34",-,0.0049
2018-08-01,"2,813.36","2,821.17","2,825.83","2,805.85",-,-0.001
2018-07-31,"2,816.29","2,809.73","2,824.46","2,808.06",-,0.0049
2018-07-30,"2,802.60","2,819.00","2,821.74","2,798.11",-,-0.0058
2018-07-27,"2,818.82","2,842.35","2,843.17","2,808.34",-,-0.0066
2018-07-26,"2,837.44","2,835.49","2,845.57","2,835.26",-,-0.003
2018-07-25,"2,846.07","2,817.73","2,848.03","2,817.73",-,0.0091
2018-07-24,"2,820.40","2,820.68","2,829.99","2,811.12",-,0.0048
2018-07-23,"2,806.98","2,799.17","2,808.61","2,795.14",-,0.0018
2018-07-20,"2,801.83","2,804.55","2,809.70","2,800.01",-,-0.0009
2018-07-19,"2,804.49","2,809.37","2,812.05","2,799.77",-,-0.004
2018-07-18,"2,815.62","2,811.35","2,816.76","2,805.89",-,0.0022
2018-07-17,"2,809.55","2,789.34","2,814.19","2,789.24",-,0.004
2018-07-16,"2,798.43","2,801.43","2,803.71","2,793.39",-,-0.001
2018-07-13,"2,801.31","2,796.93","2,804.53","2,791.69",-,0.0011
2018-07-12,"2,798.29","2,783.14","2,799.22","2,781.53",-,0.0087
2018-07-11,"2,774.02","2,779.82","2,785.91","2,770.77",-,-0.0071
2018-07-10,"2,793.84","2,788.56","2,795.58","2,786.24",-,0.0035
2018-07-09,"2,784.17","2,768.51","2,784.65","2,768.51",-,0.0088
2018-07-06,"2,759.82","2,737.68","2,764.41","2,733.52",-,0.0085
2018-07-05,"2,736.61","2,724.19","2,737.83","2,716.02",-,0.0086
2018-07-03,"2,713.22","2,733.27","2,736.58","2,711.16",-,-0.0049
2018-07-02,"2,726.71","2,704.95","2,727.26","2,698.95",-,0.0031
2018-06-29,"2,718.37","2,727.13","2,743.26","2,718.03",-,0.0008
2018-06-28,"2,716.31","2,698.69","2,724.34","2,691.99",-,0.0062
2018-06-27,"2,699.63","2,728.45","2,746.09","2,699.38",-,-0.0086
2018-06-26,"2,723.06","2,722.12","2,732.91","2,715.60",-,0.0022
2018-06-25,"2,717.07","2,742.94","2,742.94","2,698.67",-,-0.0137
2018-06-22,"2,754.88","2,760.79","2,764.17","2,752.68",-,0.0019
2018-06-21,"2,749.76","2,769.28","2,769.28","2,744.39",-,-0.0063
2018-06-20,"2,767.32","2,769.73","2,774.86","2,763.91",-,0.0017
2018-06-19,"2,762.59","2,752.01","2,765.05","2,743.19",-,-0.004
2018-06-18,"2,773.75","2,765.79","2,774.99","2,757.12",-,-0.0021
2018-06-15,"2,779.66","2,777.78","2,782.81","2,761.73",-,-0.001
2018-06-14,"2,782.49","2,783.21","2,789.06","2,776.52",-,0.0025
2018-06-13,"2,775.63","2,787.94","2,791.47","2,774.65",-,-0.004
2018-06-12,"2,786.85","2,785.60","2,789.80","2,778.78",-,0.0017
2018-06-11,"2,782.00","2,780.18","2,790.21","2,780.17",-,0.0011
2018-06-08,"2,779.03","2,765.84","2,779.39","2,763.59",-,0.0031
2018-06-07,"2,770.37","2,774.84","2,779.90","2,760.16",-,-0.0007
2018-06-06,"2,772.35","2,753.25","2,772.39","2,748.46",-,0.0086
2018-06-05,"2,748.80","2,748.46","2,752.61","2,739.51",-,0.0007
2018-06-04,"2,746.87","2,741.67","2,749.16","2,740.54",-,0.0045
2018-06-01,"2,734.62","2,718.70","2,736.93","2,718.70",-,0.0108
2018-05-31,"2,705.27","2,720.98","2,722.50","2,700.68",-,-0.0069
2018-05-30,"2,724.01","2,702.43","2,729.34","2,702.43",-,0.0127
2018-05-29,"2,689.86","2,705.11","2,710.67","2,676.81",-,-0.0116
2018-05-25,"2,721.33","2,723.60","2,727.36","2,714.99",-,-0.0024
2018-05-24,"2,727.76","2,730.94","2,731.97","2,707.38",-,-0.002
2018-05-23,"2,733.29","2,713.98","2,733.33","2,709.54",-,0.0032
2018-05-22,"2,724.44","2,738.34","2,742.24","2,721.88",-,-0.0031
2018-05-21,"2,733.01","2,725.95","2,739.19","2,725.70",-,0.0074
2018-05-18,"2,712.97","2,717.35","2,719.50","2,709.18",-,-0.0026
2018-05-17,"2,720.13","2,719.71","2,731.96","2,711.36",-,-0.0009
2018-05-16,"2,722.46","2,712.62","2,727.76","2,712.17",-,0.0041
2018-05-15,"2,711.45","2,718.59","2,718.59","2,701.91",-,-0.0068
2018-05-14,"2,730.13","2,733.37","2,742.10","2,725.47",-,0.0009
2018-05-11,"2,727.72","2,722.70","2,732.86","2,717.45",-,0.0017
2018-05-10,"2,723.07","2,705.02","2,726.11","2,704.54",-,0.0094
2018-05-09,"2,697.79","2,678.12","2,701.27","2,674.14",-,0.0097
2018-05-08,"2,671.92","2,670.26","2,676.34","2,655.20",-,-0.0003
2018-05-07,"2,672.63","2,669.36","2,683.35","2,664.70",-,0.0035
2018-05-04,"2,663.42","2,621.45","2,670.93","2,615.32",-,0.0128
2018-05-03,"2,629.73","2,628.08","2,637.14","2,594.62",-,-0.0023
2018-05-02,"2,635.67","2,654.24","2,660.87","2,631.70",-,-0.0072
2018-05-01,"2,654.80","2,643.64","2,655.27","2,625.41",-,0.0025
2018-04-30,"2,648.05","2,675.05","2,682.92","2,648.04",-,-0.0082
2018-04-27,"2,669.91","2,675.47","2,677.35","2,659.01",-,0.0011
2018-04-26,"2,666.94","2,651.65","2,676.48","2,647.16",-,0.0104
2018-04-25,"2,639.40","2,634.92","2,645.30","2,612.67",-,0.0018
2018-04-24,"2,634.56","2,680.80","2,683.55","2,617.32",-,-0.0134
2018-04-23,"2,670.29","2,675.40","2,682.86","2,657.99",-,0.0001
2018-04-20,"2,670.14","2,692.56","2,693.94","2,660.61",-,-0.0085
2018-04-19,"2,693.13","2,701.16","2,702.84","2,681.90",-,-0.0057
2018-04-18,"2,708.64","2,710.11","2,717.49","2,703.63",-,0.0008
2018-04-17,"2,706.39","2,692.74","2,713.34","2,692.05",-,0.0107
2018-04-16,"2,677.84","2,670.10","2,686.49","2,665.16",-,0.0081
2018-04-13,"2,656.30","2,676.90","2,680.26","2,645.05",-,-0.0029
2018-04-12,"2,663.99","2,653.83","2,674.72","2,653.83",-,0.0083
2018-04-11,"2,642.19","2,643.89","2,661.43","2,639.25",-,-0.0055
2018-04-10,"2,656.87","2,638.41","2,665.45","2,635.78",-,0.0167
2018-04-09,"2,613.16","2,617.18","2,653.55","2,610.79",-,0.0033
2018-04-06,"2,604.47","2,645.82","2,656.88","2,586.27",-,-0.0219
2018-04-05,"2,662.84","2,657.36","2,672.08","2,649.58",-,0.0069
2018-04-04,"2,644.69","2,584.04","2,649.86","2,573.61",-,0.0116
2018-04-03,"2,614.45","2,592.17","2,619.14","2,575.49",-,0.0126
2018-04-02,"2,581.88","2,633.45","2,638.30","2,553.80",-,-0.0223
2018-03-29,"2,640.87","2,614.41","2,659.07","2,609.72",-,0.0138
2018-03-28,"2,605.00","2,611.30","2,632.65","2,593.06",-,-0.0029
2018-03-27,"2,612.62","2,667.57","2,674.78","2,596.12",-,-0.0173
2018-03-26,"2,658.55","2,619.35","2,661.36","2,601.81",-,0.0272
2018-03-23,"2,588.26","2,646.71","2,657.67","2,585.89",-,-0.021
2018-03-22,"2,643.69","2,691.36","2,695.68","2,641.59",-,-0.0252
2018-03-21,"2,711.93","2,714.99","2,739.14","2,709.79",-,-0.0018
2018-03-20,"2,716.94","2,715.05","2,724.22","2,710.05",-,0.0015
2018-03-19,"2,712.92","2,741.38","2,741.38","2,694.59",-,-0.0142
2018-03-16,"2,752.01","2,750.57","2,761.85","2,749.97",-,0.0017
2018-03-15,"2,747.33","2,754.27","2,763.03","2,741.47",-,-0.0008
2018-03-14,"2,749.48","2,774.06","2,777.11","2,744.38",-,-0.0057
2018-03-13,"2,765.31","2,792.31","2,801.90","2,758.68",-,-0.0064
2018-03-12,"2,783.02","2,790.54","2,796.98","2,779.26",-,-0.0013
2018-03-09,"2,786.57","2,752.91","2,786.57","2,751.54",-,0.0174
2018-03-08,"2,738.97","2,732.75","2,740.45","2,722.65",-,0.0045
2018-03-07,"2,726.80","2,710.18","2,730.60","2,701.74",-,-0.0005
2018-03-06,"2,728.12","2,730.18","2,732.08","2,711.26",-,0.0026
2018-03-05,"2,720.94","2,681.06","2,728.09","2,675.75",-,0.011
2018-03-02,"2,691.25","2,658.89","2,696.25","2,647.32",-,0.0051
2018-03-01,"2,677.67","2,715.22","2,730.89","2,659.65",-,-0.0133
2018-02-28,"2,713.83","2,753.78","2,761.52","2,713.54",-,-0.0111
2018-02-27,"2,744.28","2,780.45","2,789.15","2,744.22",-,-0.0127
2018-02-26,"2,779.60","2,757.37","2,780.64","2,753.78",-,0.0118
2018-02-23,"2,747.30","2,715.80","2,747.76","2,713.74",-,0.016
2018-02-22,"2,703.96","2,710.42","2,731.26","2,697.77",-,0.001
2018-02-21,"2,701.33","2,720.53","2,747.75","2,701.29",-,-0.0055
2018-02-20,"2,716.26","2,722.99","2,737.60","2,706.76",-,-0.0058
2018-02-16,"2,732.22","2,727.14","2,754.42","2,725.11",-,0.0004
2018-02-15,"2,731.20","2,713.46","2,731.51","2,689.82",-,0.0121
2018-02-14,"2,698.63","2,651.21","2,702.10","2,648.87",-,0.0134
2018-02-13,"2,662.94","2,646.27","2,668.84","2,637.08",-,0.0026
2018-02-12,"2,656.00","2,636.75","2,672.61","2,622.45",-,0.0139
2018-02-09,"2,619.55","2,601.78","2,638.67","2,532.69",-,0.0149
2018-02-08,"2,581.00","2,685.01","2,685.27","2,580.56",-,-0.0375
2018-02-07,"2,681.66","2,690.95","2,727.67","2,681.33",-,-0.005
2018-02-06,"2,695.14","2,614.78","2,701.04","2,593.07",-,0.0174
2018-02-05,"2,648.94","2,741.06","2,763.39","2,638.17",-,-0.041
2018-02-02,"2,762.13","2,808.92","2,808.92","2,759.97",-,-0.0212
2018-02-01,"2,821.98","2,816.45","2,835.96","2,812.70",-,-0.0006
2018-01-31,"2,823.81","2,832.41","2,839.26","2,813.04",-,0.0005
2018-01-30,"2,822.43","2,832.74","2,837.75","2,818.27",-,-0.0109
2018-01-29,"2,853.53","2,867.23","2,870.62","2,851.48",-,-0.0067
2018-01-26,"2,872.87","2,847.48","2,872.87","2,846.18",-,0.0118
2018-01-25,"2,839.25","2,846.24","2,848.56","2,830.94",-,0.0006
2018-01-24,"2,837.54","2,845.42","2,852.97","2,824.81",-,-0.0006
2018-01-23,"2,839.13","2,835.05","2,842.24","2,830.59",-,0.0022
